url	sections	status	source	added	last_checked	claims_checked	note
https://code.claude.com/docs/en/overview	docs|harnesses|map	active	phase0-map-reconcile	2026-07-27			
https://code.claude.com/docs/en/permissions	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/plugins-reference	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/sandbox-environments	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/sandboxing	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/scheduled-tasks	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/settings	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/skills	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/statusline	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/sub-agents	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/terminal-config	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/tools-reference	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/voice-dictation	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/workflows	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://code.claude.com/docs/en/worktrees	docs|harnesses	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
https://community.openai.com/t/openai-privacy-filter-for-detecting-and-masking-pii-in-text/1379537	security	active	AI-AGENT-DEV-TOOLS-MAIN.md	2026-06-29			
